IP地址,端口,TLS,数据中心,国家,城市,网络延迟(毫秒),下载速度(MB/s)
140.238.62.82,1443,AS,JP,JP,Inzai,301,0.63
150.230.5.34,45681,AS,JP,JP,Osaka,306,0.57
141.147.185.63,443,AS,JP,JP,Inzai,249,0.52
140.83.57.114,25965,AS,JP,JP,Osaka,177,0.51
168.138.193.174,11959,AS,JP,JP,Inzai,307,0.5
185.184.223.47,443,AS,JP,JP,Osaka,415,0.5
217.142.230.253,587,AS,JP,JP,Osaka,37,0.49
158.101.89.113,50443,AS,JP,JP,Inzai,140,0.49
64.110.101.90,55007,AS,JP,JP,Osaka,209,0.47
198.13.42.58,32954,AS,JP,JP,N/A,320,0.46
217.142.236.93,443,AS,JP,JP,Osaka,262,0.44
217.142.226.116,443,AS,JP,JP,Osaka,293,0.44
140.83.57.183,22735,AS,JP,JP,Osaka,262,0.42
158.101.152.6,2919,AS,JP,JP,Inzai,230,0.37
138.3.222.33,443,AS,JP,JP,Inzai,67,0.36
152.70.82.70,1450,AS,JP,JP,Osaka,337,0.35
45.11.1.118,44004,AS,JP,JP,Tokyo,32,0.35
140.245.88.197,443,AS,JP,JP,Inzai,37,0.33
132.145.116.185,443,AS,JP,JP,Inzai,257,0.32
202.84.53.85,19999,AS,JP,JP,Toyoshina,628,0.3
158.101.157.75,57105,AS,JP,JP,Inzai,291,0.28
147.45.49.11,2053,AS,JP,JP,Tokyo,192,0.23
172.104.127.132,443,AS,JP,JP,Tokyo,240,0.19
38.180.29.115,443,AS,JP,JP,Tokyo,108,0.17
64.176.39.147,16387,AS,JP,JP,N/A,223,0.16
118.27.12.40,38443,AS,JP,JP,N/A,95,0.14
91.194.160.121,2053,AS,JP,JP,Tokyo,88,0.14
153.121.45.101,443,AS,JP,JP,Tokyo,143,0.13
168.138.46.115,43138,AS,JP,JP,Osaka,106,0.09
152.69.192.40,57005,AS,JP,JP,Osaka,339,0.08
152.69.199.70,8443,AS,JP,JP,Osaka,35,1.9
185.18.222.208,2053,AS,JP,JP,Tokyo,43,1.1
150.230.204.21,10243,AS,JP,JP,Inzai,69,1.05
139.162.84.132,18836,AS,JP,JP,Tokyo,33,1.05
103.232.213.117,8080,AS,JP,JP,Tokyo,37,1.03
91.194.160.79,8443,AS,JP,JP,Tokyo,36,1.03
150.230.214.172,16957,AS,JP,JP,Inzai,88,1.03
49.212.133.94,443,AS,JP,JP,Hiyoshi,1180,1.02
138.2.48.109,26412,AS,JP,JP,Osaka,39,1.02
138.3.217.167,587,AS,JP,JP,Inzai,71,1.02
60.249.114.181,12281,AS,TW,TW,Taichung,72,1.02
60.249.114.181,10244,AS,TW,TW,Taichung,103,1.01
60.249.114.181,21574,AS,TW,TW,Taichung,106,1.01
60.249.114.181,16022,AS,TW,TW,Taichung,121,1.01
220.135.202.250,81,AS,TW,TW,Taipei,223,1.01
220.132.77.244,58888,AS,TW,TW,New Taipei City,93,1.01
118.163.37.32,81,AS,TW,TW,Guishan,73,1.01
210.61.97.241,81,AS,TW,TW,Taoyuan District,154,1.01
60.249.114.181,32003,AS,TW,TW,Taichung,82,1.01
188.253.6.53,25884,AS,TW,TW,N/A,72,1.01
182.155.79.69,12369,AS,TW,TW,Taichung,125,1.01
220.130.80.171,20655,AS,TW,TW,Chang-hua,75,1.01
141.11.86.94,18333,AS,TW,TW,Taipei,72,1.01
114.34.202.224,10004,AS,TW,TW,New Taipei City,42,1.01
103.106.230.186,81,AS,TW,TW,Taipei,73,1
167.179.27.92,443,AS,TW,TW,Dawan,68,1
182.155.79.69,11250,AS,TW,TW,Taichung,113,0.99
61.63.235.53,25957,AS,TW,TW,Taichung,73,0.99
60.249.114.181,26398,AS,TW,TW,Taichung,102,0.99
60.249.114.181,11285,AS,TW,TW,Taichung,48,0.99
104.252.127.253,2053,AS,EU,UA,Kyiv,,0.97
193.110.163.10,58443,AS,EU,UA,N/A,,0.97
130.0.239.147,2053,AS,EU,UA,Kyiv,,0.97
104.252.127.253,8443,AS,EU,UA,Kyiv,,0.96
194.38.20.78,443,AS,EU,UA,Dnipro,,0.96
91.218.212.223,443,AS,EU,UA,N/A,,0.96
130.0.239.147,8443,AS,EU,UA,Kyiv,,0.95
46.17.107.183,443,AS,NA,US,New York,,0.94
35.167.93.200,80,AS,NA,US,Boardman,,0.94
192.210.181.182,443,AS,NA,US,Buffalo,,0.94
176.122.187.16,51121,AS,NA,US,Los Angeles,,0.93
192.3.30.175,2053,AS,NA,US,Buffalo,,0.92
47.252.69.111,11791,AS,NA,US,N/A,,0.91
5.181.3.119,8443,AS,NA,US,Atlanta,,0.91
107.172.190.130,2053,AS,NA,US,Buffalo,,0.9
74.48.136.41,123,AS,NA,US,Los Angeles,,0.89
148.135.94.110,2053,AS,NA,US,Los Angeles,,0.89
66.103.204.73,48805,AS,NA,US,Los Angeles,,0.86
192.236.249.95,443,AS,NA,US,N/A,,0.86
107.172.103.195,16068,AS,NA,US,Santa Clara,,0.86
63.142.251.8,443,AS,NA,US,Dallas,,0.85
129.213.22.27,11650,AS,NA,US,Ashburn,,0.84
35.185.54.229,27251,AS,NA,US,North Charleston,,0.83
140.82.21.227,3533,AS,NA,US,Los Angeles,,0.83
15.204.67.30,2083,AS,NA,US,Hillsboro,,0.82
107.172.218.244,47452,AS,NA,US,Santa Clara,,0.82
173.242.123.189,51042,AS,NA,US,Los Angeles,,0.79
148.135.5.55,34215,AS,NA,US,Los Angeles,,0.78
174.137.59.73,443,AS,NA,US,Fremont,,0.78
66.85.139.204,443,AS,NA,US,Phoenix,,0.77
142.171.147.201,20274,AS,NA,US,Los Angeles,,0.76
54.202.98.246,47346,AS,NA,US,Boardman,,0.74
141.148.164.46,57239,AS,NA,US,Phoenix,,0.72
138.2.81.243,45319,AS,SG,SG,Hong Kong,43,1.1
158.178.244.9,57459,AS,SG,SG,N/A,33,1.05
3.1.116.161,2053,AS,SG,SG,Hong Kong,37,1.03
213.35.100.31,47112,AS,SG,SG,Hong Kong,88,1.03
116.47.10.236,11102,AS,JP,JP,N/A,1180,1.02
211.108.187.248,18055,AS,JP,JP,Hong Kong,39,1.02
61.253.153.25,15091,AS,JP,JP,N/A,71,1.02
47.76.237.145,8005,AS,HK,HK,Hong Kong,106,1.01
8.218.128.140,443,AS,HK,HK,Hong Kong,121,1.01
47.239.125.132,443,AS,HK,HK,Hong Kong,223,1.01
8.217.201.140,443,AS,HK,HK,N/A,93,1.01
43.100.17.13,443,AS,HK,HK,Ha Kwai Chung,73,1.01
46.232.108.52,443,AS,HK,HK,Hong Kong,154,1.01
43.248.11.43,443,AS,HK,HK,Hong Kong,82,1.01
38.207.132.101,443,AS,HK,HK,N/A,72,1.01
8.211.155.30,443,AS,JP,JP,Hong Kong,125,1.01
103.117.102.127,22317,AS,JP,JP,N/A,75,1.01
103.135.249.14,42000,AS,HK,HK,N/A,72,1.01
20.243.22.94,443,AS,JP,JP,N/A,42,1.01
8.219.0.67,443,AS,SG,SG,Hong Kong,73,1
154.31.114.136,443,AS,JP,JP,Hong Kong,68,1
